id,canonical_name,site,context,findspot,support,scribe,linear_a_text,linear_a_text_with_linebreaks,transliteration_text,gloss_text,image_rights,image_rights_url,source_dataset,undeciphered_language_notice
HTWa1807,HTWa1807,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=123,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1808,HTWa1808,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=123,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1809,HTWa1809,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=123,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1810,HTWa1810,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 10,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=123,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1811,HTWa1811,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 10,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=123,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1812,HTWa1812,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=123,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1813,HTWa1813,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=123,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1814,HTWa1814,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 10,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=123,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1815,HTWa1815,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 10,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1816,HTWa1816,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1817,HTWa1817,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 10,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1818,HTWa1818,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1819,HTWa1819,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1820,HTWa1820,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1821,HTWa1821,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1822,HTWa1822,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1823,HTWa1823,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 97,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1824,HTWa1824,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1825,HTWa1825,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1826,HTWa1826,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1827,HTWa1827,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1828,HTWa1828,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1829,HTWa1829,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=124,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1830,HTWa1830,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 10,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=125,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1831,HTWa1831,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=125,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1832,HTWa1832,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=125,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1833,HTWa1833,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 10,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=125,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1834,HTWa1834,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 99,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=125,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1835,HTWa1835,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=125,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1836,HTWa1836,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=125,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1837,HTWa1837,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 10,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=125,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1838,HTWa1838,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 10,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=125,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1839,HTWa1839,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=125,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1840,HTWa1840,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 10,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=125,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1841,HTWa1841,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 10,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=125,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1842,HTWa1842,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=125,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1843,HTWa1843,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=125,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1844,HTWa1844,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 10,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=125,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1845+1733,HTWa1845+1733,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1846,HTWa1846,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=126,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1847,HTWa1847,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=126,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1848,HTWa1848,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐙕,𐙕,*301,*301,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=126,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1849,HTWa1849,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐚙,𐚙,*365,*365,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=126,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1850,HTWa1850,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐚚,𐚚,*366,*366,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=126,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1851,HTWa1851,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐚛,𐚛,*367,*367,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=126,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1852,HTWa1852,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐚜,𐚜,*368,*368,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=126,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1853,HTWa1853,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐚝,𐚝,*369,*369,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=126,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1854,HTWa1854,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐚞,𐚞,*370,*370,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=126,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1855,HTWa1855,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐝫,𐝫,𐝫,𐝫,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=127,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1856,HTWa1856,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐝫,𐝫,𐝫,𐝫,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=127,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1857,HTWa1857,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐝫,𐝫,𐝫,𐝫,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=127,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1858,HTWa1858,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐝫,𐝫,𐝫,𐝫,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=127,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1859,HTWa1859,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐝫,𐝫,𐝫,𐝫,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=127,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1860,HTWa1860,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐝫,𐝫,𐝫,𐝫,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=127,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1861,HTWa1861,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐝫,𐝫,𐝫,𐝫,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=127,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWb2001,HTWb2001,Haghia Triada,LMIB,,Sealing,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=130,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWb2002,HTWb2002,Haghia Triada,LMIB,,Sealing,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=130,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWb229,HTWb229,Haghia Triada,LMIB,,Sealing,,𐙓𐜙,𐙓𐜙,*188 CYP+D,*188 cyperus,Halbherr,papers/HTWb229.pdf#page=379,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3001,HTWc3001,Haghia Triada,LMIB,,Roundel,HT Wa Scribe 10,𐘂𐘈𐘱𐝆,𐘂𐘈𐘱𐝆,PA-SE-JA ¹⁄₂,PA-SE-JA ¹⁄₂,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=132,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3002,HTWc3002,Haghia Triada,LMIB,,Roundel,HT Wa Scribe 10,𐘂𐘈𐘱,𐘂𐘈𐘱,PA-SE-JA,PA-SE-JA,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=132,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3003,HTWc3003,Haghia Triada,LMIB,,Roundel,,𐘾𐘙𐘁,𐘾𐘙𐘁,KA-RE-RO,KA-RE-RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=132,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3004,HTWc3004,Haghia Triada,LMIB,,Roundel,HT Wc Scribe 10,𐘳𐘝𐘾𐘈,𐘳𐘝𐘾𐘈,TA-NI-KA SE,TA-NI-KA SE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=133,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3005,HTWc3005,Haghia Triada,LMIB,,Roundel,HT Wc Scribe 10,𐘳𐘝𐘾𐘈,𐘳𐘝𐘾𐘈,TA-NI-KA SE,TA-NI-KA SE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=133,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3006,HTWc3006,Haghia Triada,LMIB,,Roundel,,𐘮𐘵𐘻𐘴𐙦𐘴,𐘮𐘵𐘻𐘴𐙦𐘴,WA-O-MI RA-*314-RA,WA-O-MI RA-*314-RA,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=133,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3007,HTWc3007,Haghia Triada,LMIB,,Roundel,HT Wc Scribe 10,𐘮𐘆𐘝,𐘮𐘆𐘝,WA-DI-NI,WA-DI-NI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=134,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3008,HTWc3008,Haghia Triada,LMIB,,Roundel,HT Wc Scribe 10,𐘮𐘆𐘝𐘘𐘱𐘳𐘆,𐘮𐘆𐘝𐘘𐘱𐘳𐘆,WA-DI-NI RU-JA-TA-DI,WA-DI-NI RU-JA-TA-DI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=134,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3009,HTWc3009,Haghia Triada,LMIB,,Roundel,HT Wc Scribe 10,𐙹𐘆𐘲𐘾𐙓,𐙹𐘆𐘲𐘾𐙓,*333-DI-SU-KA *188,*333-DI-SU-KA *188,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=134,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3010,HTWc3010,Haghia Triada,LMIB,,Roundel,HT Wc Scribe 10,𐙹𐘆𐘅𐘲𐘾,𐙹𐘆𐘅𐘲𐘾,*333-DI-NA-SU-KA,*333-DI-NA-SU-KA,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=135,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3011,HTWc3011,Haghia Triada,LMIB,,Roundel,HT Wc Scribe 11,𐙀𐘆𐘴,𐙀𐘆𐘴,ZU-DI-RA,ZU-DI-RA,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=135,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3012,HTWc3012,Haghia Triada,LMIB,,Roundel,HT Wc Scribe 11,𐙀𐘆𐘴𐘙𐘁,𐙀𐘆𐘴𐘙𐘁,ZU-DI-RA RE-RO,ZU-DI-RA RE-RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=135,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3013,HTWc3013,Haghia Triada,LMIB,,Roundel,,𐙓,𐙓,*188,*188,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=136,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3014,HTWc3014,Haghia Triada,LMIB,,Roundel,,𐙂𐘻𐘅𐘿𐄁𐘒,𐙂𐘻𐘅𐘿𐄁𐘒,KU-MI-NA-QE 𐄁 CAP,KU-MI-NA-QE 𐄁 goat,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=136,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3015,HTWc3015,Haghia Triada,LMIB,,Roundel,,𐘾𐙂𐘂𐙗,𐘾𐙂𐘂𐙗,KA-KU-PA CYP,KA-KU-PA cyperus,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=136,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3016,HTWc3016,Haghia Triada,LMIB,,Roundel,HT Wc Scribe 11,𐘾𐙂𐘂𐜝𐜙,𐘾𐙂𐘂𐜝𐜙,KA-KU-PA *304+PA-CYP+D,KA-KU-PA *304+PA-CYP+D,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=137,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3017,HTWc3017,Haghia Triada,LMIB,,Roundel,,𐘌𐙂𐘙𐄁𐘆𐙗𐝂𐜝𐜝,𐘌𐙂𐘙𐄁𐘆𐙚𐄁𐜙𐜝,QA-KU-RE 𐄁 DI-*306 𐄁 CYP+D-*304+PA,QA-KU-RE 𐄁 DI-*306 𐄁 CYP+D-*304+PA,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=137,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3019,HTWc3019,Haghia Triada,LMIB,,Roundel,,𐘮𐝃,𐘮𐝃,WA ¹⁄₄,cloth ¹⁄₄,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=138,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3021,HTWc3021,Haghia Triada,LMIB,,Roundel,,𐝫,𐝫,𐝫,𐝫,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=138,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3022(?),HTWc3022(?),Haghia Triada,LMIB,,Roundel,,𐙇,𐙇,VIR+[?],VIR+[?],,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3023,HTWc3023,Haghia Triada,LMIB,,Roundel,,,,,,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc3024,HTWc3024,Haghia Triada,LMIB,,Roundel,,"𐘇𐘴𐘹𐘋
𐘓","𐘇𐘴𐘹𐘋
𐘓𐘓","A-RA-TU-ME 
 *22F","A-RA-TU-ME 
 she-goat",,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWc<3018>,HTWc<3018>,Haghia Triada,LMIB,,Roundel,,𐘾𐜙,𐘾𐜙,KA CYP+D,KA cyperus,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWd1617,HTWd1617,Haghia Triada,LMIB,,Tablet,,𐙂,𐙂,KU,KU,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWd1663,HTWd1663,Haghia Triada,LMIB,,Tablet,HT Wa Scribe 10,𐙕,𐙕,*301,*301,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWeWc3020,HTWeWc3020,Haghia Triada,LMIB,,Roundel,HT Wc Scribe 11,𐙓𐘬𐜝𐜙,𐙓𐘬𐜝𐜙,*188-DU *304+PA-CYP+D,*188-DU *304+PA-CYP+D,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTZb158a,HTZb158a,Haghia Triada,LMIB,Villa Magazine Room 5,Clay vessel,,𐝫𐄁𐝫𐘹𐘈𐘲𐘸,𐝫𐄁𐝫𐘹𐘈𐘲𐘸,𐄁 TU-SE-SU-KI,𐄁 TU-SE-SU-KI,© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=108,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTZb158b,HTZb158b,Haghia Triada,LMIB,Villa Magazine Room 5,Clay vessel,,𐘲𐘸𐘭𐘃𐘚𐘱,𐘲𐘸𐘭𐘃𐘚𐘱,SU-KI-RI-TE-I-JA,from SU-KI-RI-TA,© École Française d'Athènes,papers/GORILA-Vol4.pdf#page=108,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
